GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
utils,default,ContactTypeException,7,0,0,0,4,0,2,0,2,0
utils,com.ecc.app,ScannerUtil,35,75,4,4,13,30,5,5,1,5
